sid,time_iso,time_ns,lat,lon
b'1978173N25274',1978-06-21T11:59:59.999959776,267278399999959776,25.970001220703125,-85.87000274658203
b'1978173N25274',1978-06-21T17:59:59.999959776,267299999999959776,26.229999542236328,-84.33000183105469
b'1978173N25274',1978-06-21T20:59:59.999959776,267310799999959776,23.155000686645508,-88.32500457763672
b'1978173N25274',1978-06-21T23:59:59.999959776,267321599999959776,21.100000381469727,-89.19999694824219
b'1978173N25274',1978-06-22T02:59:59.999959776,267332399999959776,24.9950008392334,-87.87750244140625
b'1978173N25274',1978-06-22T14:59:59.999959776,267375599999959776,29.51000022888184,-77.5199966430664
b'1978173N25274',1978-06-22T17:59:59.999959776,267386399999959776,28.630001068115234,-78.25
b'1978222N27270',1978-08-09T11:59:59.999959776,271511999999959776,29.09000015258789,-88.80999755859375
b'1978222N27270',1978-08-09T14:59:59.999959776,271522799999959776,28.90999984741211,-88.81749725341797
b'1978222N27270',1978-08-09T17:59:59.999959776,271533599999959776,27.0,-88.94999694824219
b'1978222N27270',1978-08-09T20:59:59.999959776,271544399999959776,26.732500076293945,-89.05500030517578
b'1978222N27270',1978-08-09T23:59:59.999959776,271555199999959776,25.43000030517578,-87.45000457763672
b'1978222N27270',1978-08-10T02:59:59.999959776,271565999999959776,27.970001220703125,-86.93749237060547
b'1978222N27270',1978-08-10T05:59:59.999959776,271576799999959776,29.53000259399414,-86.96998596191406
b'1978222N27270',1978-08-10T08:59:59.999959776,271587599999959776,30.39000129699707,-87.36749267578125
b'1978222N27270',1978-08-10T11:59:59.999959776,271598399999959776,29.149999618530277,-87.75
b'1978222N27270',1978-08-10T14:59:59.999959776,271609199999959776,29.029998779296875,-87.4000015258789
b'1978222N27270',1978-08-10T17:59:59.999959776,271619999999959776,28.559999465942383,-87.58999633789062
b'1978243N28269',1978-08-30T11:59:59.999959776,273326399999959776,24.36999893188477,-96.66999816894533
b'1978243N28269',1978-08-30T14:59:59.999959776,273337199999959776,26.037498474121094,-96.25
b'1978243N28269',1978-08-30T17:59:59.999959776,273347999999959776,27.799999237060547,-93.24000549316406
b'1978243N28269',1978-08-30T20:59:59.999959776,273358799999959776,27.28999900817871,-85.95999908447266
b'1978243N28269',1978-08-30T23:59:59.999959776,273369599999959776,27.549999237060547,-86.58999633789062
b'1978243N28269',1978-08-31T02:59:59.999959776,273380399999959776,27.690000534057617,-91.62999725341795
b'1978243N28269',1978-08-31T05:59:59.999959776,273391199999959776,29.229999542236328,-95.05999755859376
